inadequacao,estado,pct_2016,pct_2019,diff_2019_2016
Abastecimento de água,Sergipe,19.59,31.77,12.18
Abastecimento de água,Pernambuco,59.85,68.46,8.61
Domicílios inadequados,Pernambuco,72.39,79.68,7.29
Esgotamento,Sergipe,13.33,19.83,6.5
Inadequação fundiária,Paraíba,2.34,6.66,4.32
Domicílios inadequados,Sergipe,49.99,53.6,3.61
Inadequação fundiária,Pernambuco,5.63,8.53,2.9
Inadequação fundiária,Alagoas,2.54,5.13,2.59
Domicílios inadequados,Piauí,49.47,51.75,2.28
Ausência de banheiro,Maranhão,2.55,4.46,1.91
Esgotamento,Pernambuco,9.2,11.0,1.8
Inadequação fundiária,Maranhão,2.73,3.87,1.14
Inadequação fundiária,Piauí,1.46,2.48,1.02
Ausência de banheiro,Sergipe,0.25,1.25,1.0
Inadequação fundiária,Bahia,6.08,7.01,0.93
Ausência de banheiro,Paraíba,0.39,1.09,0.7
Esgotamento,Paraíba,8.52,9.1,0.58
Ausência de banheiro,Rio Grande do Norte,0.1,0.61,0.51
Esgotamento,Maranhão,14.76,15.16,0.4
Ausência de banheiro,Pernambuco,0.32,0.69,0.37
Coleta de lixo,Alagoas,0.92,1.29,0.37
Ausência de banheiro,Bahia,0.66,1.02,0.36
Coleta de lixo,Pernambuco,2.92,3.26,0.34
Coleta de lixo,Sergipe,1.22,1.49,0.27
piso inadequado,Paraíba,0.05,0.26,0.21
Ausência de banheiro,Piauí,1.31,1.5,0.19
piso inadequado,Alagoas,0.12,0.24,0.12
Coleta de lixo,Rio Grande do Norte,0.81,0.83,0.02
Esgotamento,Piauí,8.92,8.93,0.01
Ausência de banheiro,Alagoas,0.69,0.7,0.01
piso inadequado,Bahia,0.21,0.14,-0.07
piso inadequado,Pernambuco,0.15,0.07,-0.08
piso inadequado,Piauí,0.32,0.23,-0.09
piso inadequado,Rio Grande do Norte,0.11,0.02,-0.09
Esgotamento,Bahia,12.39,12.29,-0.1
Domicílios inadequados,Bahia,55.4,55.29,-0.11
piso inadequado,Sergipe,0.11,0.0,-0.11
piso inadequado,Ceará,0.4,0.22,-0.18
Esgotamento,Ceará,10.21,10.01,-0.2
Inadequação fundiária,Ceará,4.78,4.43,-0.35
Abastecimento de água,Piauí,9.91,9.54,-0.37
piso inadequado,Maranhão,1.21,0.8,-0.41
Ausência de banheiro,Ceará,2.15,1.4,-0.75
Coleta de lixo,Paraíba,2.04,1.24,-0.8
Coleta de lixo,Ceará,3.04,1.7,-1.34
Coleta de lixo,Piauí,3.23,1.54,-1.69
Inadequação fundiária,Sergipe,3.7,1.7,-2.0
Inadequação fundiária,Rio Grande do Norte,4.83,2.83,-2.0
Coleta de lixo,Bahia,3.33,1.32,-2.01
Esgotamento,Rio Grande do Norte,49.83,47.52,-2.31
