ano,inadequacao,estado,pct_estado,metropole,pct_metropole,diff_metropole_minus_estado
2019,Abastecimento de água,Piauí,9.54,Região Metropolitana de Recife (PE),59.79,50.25
2019,Abastecimento de água,Ceará,22.32,Região Metropolitana de Recife (PE),59.79,37.47
2019,Abastecimento de água,Alagoas,26.15,Região Metropolitana de Recife (PE),59.79,33.64
2019,Abastecimento de água,Bahia,30.0,Região Metropolitana de Recife (PE),59.79,29.79
2019,Abastecimento de água,Sergipe,31.77,Região Metropolitana de Recife (PE),59.79,28.02
2019,Abastecimento de água,Rio Grande do Norte,36.47,Região Metropolitana de Recife (PE),59.79,23.32
2019,Abastecimento de água,Maranhão,37.18,Região Metropolitana de Recife (PE),59.79,22.61
2019,Abastecimento de água,Paraíba,38.04,Região Metropolitana de Recife (PE),59.79,21.75
2019,Abastecimento de água,Piauí,9.54,Região Metropolitana de João Pessoa (PB),16.83,7.29
2019,Abastecimento de água,Piauí,9.54,Região Metropolitana de Salvador (BA),15.87,6.33
2019,Abastecimento de água,Piauí,9.54,Região Metropolitana de Aracaju (SE),14.35,4.81
2019,Abastecimento de água,Piauí,9.54,Região Metropolitana de Fortaleza (CE),13.25,3.71
2019,Abastecimento de água,Piauí,9.54,Região Metropolitana de Maceió (AL),12.88,3.34
2019,Abastecimento de água,Piauí,9.54,Região Metropolitana de Natal (RN),11.37,1.83
2019,Abastecimento de água,Ceará,22.32,Região Metropolitana de João Pessoa (PB),16.83,-5.49
2019,Abastecimento de água,Ceará,22.32,Região Metropolitana de Salvador (BA),15.87,-6.45
2019,Abastecimento de água,Ceará,22.32,Região Metropolitana de Aracaju (SE),14.35,-7.97
2019,Abastecimento de água,Pernambuco,68.46,Região Metropolitana de Recife (PE),59.79,-8.67
2019,Abastecimento de água,Ceará,22.32,Região Metropolitana de Fortaleza (CE),13.25,-9.07
2019,Abastecimento de água,Alagoas,26.15,Região Metropolitana de João Pessoa (PB),16.83,-9.32
2019,Abastecimento de água,Ceará,22.32,Região Metropolitana de Maceió (AL),12.88,-9.44
2019,Abastecimento de água,Alagoas,26.15,Região Metropolitana de Salvador (BA),15.87,-10.28
2019,Abastecimento de água,Ceará,22.32,Região Metropolitana de Natal (RN),11.37,-10.95
2019,Abastecimento de água,Alagoas,26.15,Região Metropolitana de Aracaju (SE),14.35,-11.8
2019,Abastecimento de água,Alagoas,26.15,Região Metropolitana de Fortaleza (CE),13.25,-12.9
2019,Abastecimento de água,Bahia,30.0,Região Metropolitana de João Pessoa (PB),16.83,-13.17
2019,Abastecimento de água,Alagoas,26.15,Região Metropolitana de Maceió (AL),12.88,-13.27
2019,Abastecimento de água,Bahia,30.0,Região Metropolitana de Salvador (BA),15.87,-14.13
2019,Abastecimento de água,Alagoas,26.15,Região Metropolitana de Natal (RN),11.37,-14.78
2019,Abastecimento de água,Sergipe,31.77,Região Metropolitana de João Pessoa (PB),16.83,-14.94
2019,Abastecimento de água,Bahia,30.0,Região Metropolitana de Aracaju (SE),14.35,-15.65
2019,Abastecimento de água,Sergipe,31.77,Região Metropolitana de Salvador (BA),15.87,-15.9
