ano,inadequação,região,contagem,valor_percentual
2016,Ausência de banheiro,Maranhão,31.952,2.55
2016,Ausência de banheiro,Piauí,8.474,1.31
2016,Ausência de banheiro,Ceará,46.386,2.15
2016,Ausência de banheiro,Rio Grande do Norte,857.0,0.1
2016,Ausência de banheiro,Paraíba,3.697,0.39
2016,Ausência de banheiro,Pernambuco,7.99,0.32
2016,Ausência de banheiro,Alagoas,5.237,0.69
2016,Ausência de banheiro,Sergipe,1.351,0.25
2016,Ausência de banheiro,Bahia,23.447,0.66
2017,Ausência de banheiro,Maranhão,77.455,6.04
2017,Ausência de banheiro,Piauí,8.974,1.35
2017,Ausência de banheiro,Ceará,24.154,1.11
2017,Ausência de banheiro,Rio Grande do Norte,3.593,0.43
2017,Ausência de banheiro,Paraíba,3.259,0.34
2017,Ausência de banheiro,Pernambuco,12.846,0.51
2017,Ausência de banheiro,Alagoas,4.927,0.63
2017,Ausência de banheiro,Sergipe,4.126,0.73
2017,Ausência de banheiro,Bahia,41.845,1.17
2018,Ausência de banheiro,Maranhão,78.971,6.13
2018,Ausência de banheiro,Piauí,11.208,1.73
2018,Ausência de banheiro,Ceará,24.323,1.08
2018,Ausência de banheiro,Rio Grande do Norte,2.837,0.33
2018,Ausência de banheiro,Paraíba,12.025,1.24
2018,Ausência de banheiro,Pernambuco,23.606,0.92
2018,Ausência de banheiro,Alagoas,7.108,0.88
2018,Ausência de banheiro,Sergipe,5.877,1.03
2018,Ausência de banheiro,Bahia,45.192,1.27
2019,Ausência de banheiro,Maranhão,61.604,4.46
2019,Ausência de banheiro,Piauí,9.814,1.5
2019,Ausência de banheiro,Ceará,31.241,1.4
2019,Ausência de banheiro,Rio Grande do Norte,5.486,0.61
2019,Ausência de banheiro,Paraíba,10.939,1.09
2019,Ausência de banheiro,Pernambuco,18.481,0.69
2019,Ausência de banheiro,Alagoas,5.969,0.7
2019,Ausência de banheiro,Sergipe,7.552,1.25
2019,Ausência de banheiro,Bahia,37.761,1.02
