ano,inadequação,região,contagem,valor_percentual
2016,Coleta de lixo,Maranhão,151.591,12.08
2016,Coleta de lixo,Piauí,20.821,3.23
2016,Coleta de lixo,Ceará,65.521,3.04
2016,Coleta de lixo,Rio Grande do Norte,6.701,0.81
2016,Coleta de lixo,Paraíba,19.402,2.04
2016,Coleta de lixo,Pernambuco,72.88,2.92
2016,Coleta de lixo,Alagoas,6.936,0.92
2016,Coleta de lixo,Sergipe,6.728,1.22
2016,Coleta de lixo,Bahia,118.998,3.33
2017,Coleta de lixo,Maranhão,118.702,9.25
2017,Coleta de lixo,Piauí,22.54,3.39
2017,Coleta de lixo,Ceará,58.841,2.69
2017,Coleta de lixo,Rio Grande do Norte,7.153,0.85
2017,Coleta de lixo,Paraíba,12.019,1.24
2017,Coleta de lixo,Pernambuco,63.941,2.55
2017,Coleta de lixo,Alagoas,8.501,1.09
2017,Coleta de lixo,Sergipe,9.155,1.61
2017,Coleta de lixo,Bahia,75.038,2.09
2018,Coleta de lixo,Maranhão,99.866,7.76
2018,Coleta de lixo,Piauí,8.359,1.29
2018,Coleta de lixo,Ceará,38.489,1.71
2018,Coleta de lixo,Rio Grande do Norte,6.563,0.77
2018,Coleta de lixo,Paraíba,13.344,1.37
2018,Coleta de lixo,Pernambuco,69.034,2.7
2018,Coleta de lixo,Alagoas,8.309,1.03
2018,Coleta de lixo,Sergipe,13.109,2.31
2018,Coleta de lixo,Bahia,50.502,1.42
2019,Coleta de lixo,Maranhão,93.638,6.78
2019,Coleta de lixo,Piauí,10.109,1.54
2019,Coleta de lixo,Ceará,38.049,1.7
2019,Coleta de lixo,Rio Grande do Norte,7.434,0.83
2019,Coleta de lixo,Paraíba,12.44,1.24
2019,Coleta de lixo,Pernambuco,87.354,3.26
2019,Coleta de lixo,Alagoas,11.064,1.29
2019,Coleta de lixo,Sergipe,8.973,1.49
2019,Coleta de lixo,Bahia,48.881,1.32
