ano,inadequação,região,contagem,valor_percentual
2016,Esgotamento,Maranhão,185.333,14.76
2016,Esgotamento,Piauí,57.492,8.92
2016,Esgotamento,Ceará,219.843,10.21
2016,Esgotamento,Rio Grande do Norte,413.988,49.83
2016,Esgotamento,Paraíba,81.149,8.52
2016,Esgotamento,Pernambuco,229.553,9.2
2016,Esgotamento,Alagoas,210.263,27.86
2016,Esgotamento,Sergipe,73.262,13.33
2016,Esgotamento,Bahia,442.371,12.39
2017,Esgotamento,Maranhão,189.697,14.78
2017,Esgotamento,Piauí,58.820,8.86
2017,Esgotamento,Ceará,235.249,10.77
2017,Esgotamento,Rio Grande do Norte,398.198,47.37
2017,Esgotamento,Paraíba,88.213,9.13
2017,Esgotamento,Pernambuco,202.857,8.09
2017,Esgotamento,Alagoas,185.822,23.73
2017,Esgotamento,Sergipe,84.776,14.92
2017,Esgotamento,Bahia,471.350,13.12
2018,Esgotamento,Maranhão,203.411,15.8
2018,Esgotamento,Piauí,60.084,9.27
2018,Esgotamento,Ceará,254.029,11.27
2018,Esgotamento,Rio Grande do Norte,418.394,48.91
2018,Esgotamento,Paraíba,93.309,9.59
2018,Esgotamento,Pernambuco,277.445,10.83
2018,Esgotamento,Alagoas,164.368,20.29
2018,Esgotamento,Sergipe,91.389,16.09
2018,Esgotamento,Bahia,436.334,12.28
2019,Esgotamento,Maranhão,209.499,15.16
2019,Esgotamento,Piauí,58.524,8.93
2019,Esgotamento,Ceará,223.689,10.01
2019,Esgotamento,Rio Grande do Norte,424.417,47.52
2019,Esgotamento,Paraíba,91.061,9.1
2019,Esgotamento,Pernambuco,294.443,11.0
2019,Esgotamento,Alagoas,198.977,23.25
2019,Esgotamento,Sergipe,119.336,19.83
2019,Esgotamento,Bahia,454.366,12.29
