ano,inadequação,região,contagem,valor_percentual
2016,Inadequação fundiária,Maranhão,34.290,2.73
2016,Inadequação fundiária,Piauí,9.387,1.46
2016,Inadequação fundiária,Ceará,102.920,4.78
2016,Inadequação fundiária,Rio Grande do Norte,40.096,4.83
2016,Inadequação fundiária,Paraíba,22.288,2.34
2016,Inadequação fundiária,Pernambuco,140.584,5.63
2016,Inadequação fundiária,Alagoas,19.153,2.54
2016,Inadequação fundiária,Sergipe,20.341,3.7
2016,Inadequação fundiária,Bahia,216.962,6.08
2017,Inadequação fundiária,Maranhão,41.461,3.23
2017,Inadequação fundiária,Piauí,11.686,1.76
2017,Inadequação fundiária,Ceará,152.498,6.98
2017,Inadequação fundiária,Rio Grande do Norte,24.411,2.9
2017,Inadequação fundiária,Paraíba,48.580,5.03
2017,Inadequação fundiária,Pernambuco,136.387,5.44
2017,Inadequação fundiária,Alagoas,28.880,3.69
2017,Inadequação fundiária,Sergipe,24.586,4.33
2017,Inadequação fundiária,Bahia,279.280,7.78
2018,Inadequação fundiária,Maranhão,45.818,3.56
2018,Inadequação fundiária,Piauí,10.507,1.62
2018,Inadequação fundiária,Ceará,112.531,4.99
2018,Inadequação fundiária,Rio Grande do Norte,22.931,2.68
2018,Inadequação fundiária,Paraíba,71.023,7.3
2018,Inadequação fundiária,Pernambuco,136.075,5.31
2018,Inadequação fundiária,Alagoas,33.719,4.16
2018,Inadequação fundiária,Sergipe,20.296,3.57
2018,Inadequação fundiária,Bahia,235.227,6.62
2019,Inadequação fundiária,Maranhão,53.480,3.87
2019,Inadequação fundiária,Piauí,16.264,2.48
2019,Inadequação fundiária,Ceará,98.996,4.43
2019,Inadequação fundiária,Rio Grande do Norte,25.240,2.83
2019,Inadequação fundiária,Paraíba,66.645,6.66
2019,Inadequação fundiária,Pernambuco,228.445,8.53
2019,Inadequação fundiária,Alagoas,43.939,5.13
2019,Inadequação fundiária,Sergipe,10.239,1.7
2019,Inadequação fundiária,Bahia,259.151,7.01
