ano,inadequação,região,contagem,valor_percentual
2016,Domicílios inadequados,Maranhão,941.398,74.99
2016,Domicílios inadequados,Piauí,318.879,49.47
2016,Domicílios inadequados,Ceará,1.181.923,54.88
2016,Domicílios inadequados,Rio Grande do Norte,669.690,80.61
2016,Domicílios inadequados,Paraíba,711.912,74.7
2016,Domicílios inadequados,Pernambuco,1.807.205,72.39
2016,Domicílios inadequados,Alagoas,492.120,65.21
2016,Domicílios inadequados,Sergipe,274.757,49.99
2016,Domicílios inadequados,Bahia,1.978.078,55.4
2017,Domicílios inadequados,Maranhão,918.295,71.56
2017,Domicílios inadequados,Piauí,361.979,54.52
2017,Domicílios inadequados,Ceará,1.156.313,52.93
2017,Domicílios inadequados,Rio Grande do Norte,677.949,80.65
2017,Domicílios inadequados,Paraíba,689.307,71.34
2017,Domicílios inadequados,Pernambuco,1.898.788,75.69
2017,Domicílios inadequados,Alagoas,517.225,66.04
2017,Domicílios inadequados,Sergipe,280.698,49.4
2017,Domicílios inadequados,Bahia,2.027.378,56.44
2018,Domicílios inadequados,Maranhão,923.205,71.71
2018,Domicílios inadequados,Piauí,350.038,53.98
2018,Domicílios inadequados,Ceará,1.148.381,50.93
2018,Domicílios inadequados,Rio Grande do Norte,650.505,76.05
2018,Domicílios inadequados,Paraíba,624.651,64.21
2018,Domicílios inadequados,Pernambuco,1.947.945,76.07
2018,Domicílios inadequados,Alagoas,497.848,61.44
2018,Domicílios inadequados,Sergipe,281.769,49.6
2018,Domicílios inadequados,Bahia,1.880.897,52.94
2019,Domicílios inadequados,Maranhão,949.852,68.74
2019,Domicílios inadequados,Piauí,339.085,51.75
2019,Domicílios inadequados,Ceará,1.089.796,48.79
2019,Domicílios inadequados,Rio Grande do Norte,629.282,70.46
2019,Domicílios inadequados,Paraíba,662.357,66.23
2019,Domicílios inadequados,Pernambuco,2.133.121,79.68
2019,Domicílios inadequados,Alagoas,511.788,59.8
2019,Domicílios inadequados,Sergipe,322.581,53.6
2019,Domicílios inadequados,Bahia,2.044.651,55.29
