ano,inadequação,região,contagem,valor_percentual
2016,Abastecimento de água,Região Metropolitana de Fortaleza (CE),175.679,14.94
2016,Abastecimento de água,Região Metropolitana de Natal (RN),51.710,12.53
2016,Abastecimento de água,Região Metropolitana de João Pessoa (PB),59.523,16.02
2016,Abastecimento de água,Região Metropolitana de Recife (PE),586.732,46.34
2016,Abastecimento de água,Região Metropolitana de Maceió (AL),86.256,21.88
2016,Abastecimento de água,Região Metropolitana de Aracaju (SE),13.958,4.6
2016,Abastecimento de água,Região Metropolitana de Salvador (BA),290.590,22.34
2017,Abastecimento de água,Região Metropolitana de Fortaleza (CE),141.563,11.79
2017,Abastecimento de água,Região Metropolitana de Natal (RN),83.286,19.49
2017,Abastecimento de água,Região Metropolitana de João Pessoa (PB),42.763,11.37
2017,Abastecimento de água,Região Metropolitana de Recife (PE),638.304,49.2
2017,Abastecimento de água,Região Metropolitana de Maceió (AL),71.325,16.95
2017,Abastecimento de água,Região Metropolitana de Aracaju (SE),11.854,3.87
2017,Abastecimento de água,Região Metropolitana de Salvador (BA),332.469,24.57
2018,Abastecimento de água,Região Metropolitana de Fortaleza (CE),163.764,12.92
2018,Abastecimento de água,Região Metropolitana de Natal (RN),39.943,9.25
2018,Abastecimento de água,Região Metropolitana de João Pessoa (PB),50.229,13.41
2018,Abastecimento de água,Região Metropolitana de Recife (PE),715.382,54.15
2018,Abastecimento de água,Região Metropolitana de Maceió (AL),67.910,15.23
2018,Abastecimento de água,Região Metropolitana de Aracaju (SE),24.689,8.06
2018,Abastecimento de água,Região Metropolitana de Salvador (BA),246.910,18.21
2019,Abastecimento de água,Região Metropolitana de Fortaleza (CE),164.578,13.25
2019,Abastecimento de água,Região Metropolitana de Natal (RN),52.331,11.37
2019,Abastecimento de água,Região Metropolitana de João Pessoa (PB),67.080,16.83
2019,Abastecimento de água,Região Metropolitana de Recife (PE),806.249,59.79
2019,Abastecimento de água,Região Metropolitana de Maceió (AL),60.270,12.88
2019,Abastecimento de água,Região Metropolitana de Aracaju (SE),45.957,14.35
2019,Abastecimento de água,Região Metropolitana de Salvador (BA),225.406,15.87
