ano,inadequação,região,contagem,valor_percentual
2016,Ausência de banheiro,Região Metropolitana de Fortaleza (CE),34.309,2.92
2016,Ausência de banheiro,Região Metropolitana de Natal (RN),0.0,0.0
2016,Ausência de banheiro,Região Metropolitana de João Pessoa (PB),1.006,0.27
2016,Ausência de banheiro,Região Metropolitana de Recife (PE),2.661,0.21
2016,Ausência de banheiro,Região Metropolitana de Maceió (AL),938.0,0.24
2016,Ausência de banheiro,Região Metropolitana de Aracaju (SE),936.0,0.31
2016,Ausência de banheiro,Região Metropolitana de Salvador (BA),5.716,0.44
2017,Ausência de banheiro,Região Metropolitana de Fortaleza (CE),7.371,0.61
2017,Ausência de banheiro,Região Metropolitana de Natal (RN),700.0,0.16
2017,Ausência de banheiro,Região Metropolitana de João Pessoa (PB),923.0,0.25
2017,Ausência de banheiro,Região Metropolitana de Recife (PE),1.568,0.12
2017,Ausência de banheiro,Região Metropolitana de Maceió (AL),664.0,0.16
2017,Ausência de banheiro,Região Metropolitana de Aracaju (SE),0.0,0.0
2017,Ausência de banheiro,Região Metropolitana de Salvador (BA),9.42,0.7
2018,Ausência de banheiro,Região Metropolitana de Fortaleza (CE),8.557,0.67
2018,Ausência de banheiro,Região Metropolitana de Natal (RN),349.0,0.08
2018,Ausência de banheiro,Região Metropolitana de João Pessoa (PB),2.148,0.57
2018,Ausência de banheiro,Região Metropolitana de Recife (PE),5.833,0.44
2018,Ausência de banheiro,Região Metropolitana de Maceió (AL),823.0,0.18
2018,Ausência de banheiro,Região Metropolitana de Aracaju (SE),692.0,0.23
2018,Ausência de banheiro,Região Metropolitana de Salvador (BA),6.415,0.47
2019,Ausência de banheiro,Região Metropolitana de Fortaleza (CE),3.933,0.32
2019,Ausência de banheiro,Região Metropolitana de Natal (RN),0.0,0.0
2019,Ausência de banheiro,Região Metropolitana de João Pessoa (PB),4.092,1.03
2019,Ausência de banheiro,Região Metropolitana de Recife (PE),6.888,0.51
2019,Ausência de banheiro,Região Metropolitana de Maceió (AL),1.99,0.43
2019,Ausência de banheiro,Região Metropolitana de Aracaju (SE),926.0,0.29
2019,Ausência de banheiro,Região Metropolitana de Salvador (BA),4.528,0.32
