ano,inadequação,região,contagem,valor_percentual
2016,Coleta de lixo,Região Metropolitana de Fortaleza (CE),21.445,1.82
2016,Coleta de lixo,Região Metropolitana de Natal (RN),3.238,0.78
2016,Coleta de lixo,Região Metropolitana de João Pessoa (PB),10.458,2.81
2016,Coleta de lixo,Região Metropolitana de Recife (PE),29.591,2.34
2016,Coleta de lixo,Região Metropolitana de Maceió (AL),2.583,0.66
2016,Coleta de lixo,Região Metropolitana de Aracaju (SE),3.585,1.18
2016,Coleta de lixo,Região Metropolitana de Salvador (BA),47.223,3.63
2017,Coleta de lixo,Região Metropolitana de Fortaleza (CE),30.21,2.52
2017,Coleta de lixo,Região Metropolitana de Natal (RN),3.484,0.82
2017,Coleta de lixo,Região Metropolitana de João Pessoa (PB),4.48,1.19
2017,Coleta de lixo,Região Metropolitana de Recife (PE),31.398,2.42
2017,Coleta de lixo,Região Metropolitana de Maceió (AL),2.851,0.68
2017,Coleta de lixo,Região Metropolitana de Aracaju (SE),7.012,2.29
2017,Coleta de lixo,Região Metropolitana de Salvador (BA),22.783,1.68
2018,Coleta de lixo,Região Metropolitana de Fortaleza (CE),9.061,0.71
2018,Coleta de lixo,Região Metropolitana de Natal (RN),4.603,1.07
2018,Coleta de lixo,Região Metropolitana de João Pessoa (PB),3.846,1.03
2018,Coleta de lixo,Região Metropolitana de Recife (PE),41.7,3.16
2018,Coleta de lixo,Região Metropolitana de Maceió (AL),4.742,1.06
2018,Coleta de lixo,Região Metropolitana de Aracaju (SE),10.099,3.3
2018,Coleta de lixo,Região Metropolitana de Salvador (BA),11.728,0.86
2019,Coleta de lixo,Região Metropolitana de Fortaleza (CE),5.802,0.47
2019,Coleta de lixo,Região Metropolitana de Natal (RN),3.651,0.79
2019,Coleta de lixo,Região Metropolitana de João Pessoa (PB),6.128,1.54
2019,Coleta de lixo,Região Metropolitana de Recife (PE),58.919,4.37
2019,Coleta de lixo,Região Metropolitana de Maceió (AL),6.479,1.38
2019,Coleta de lixo,Região Metropolitana de Aracaju (SE),6.541,2.04
2019,Coleta de lixo,Região Metropolitana de Salvador (BA),10.523,0.74
