ano,inadequação,região,contagem,valor_percentual
2016,Esgotamento,Região Metropolitana de Fortaleza (CE),59.410,5.05
2016,Esgotamento,Região Metropolitana de Natal (RN),179.057,43.37
2016,Esgotamento,Região Metropolitana de João Pessoa (PB),12.470,3.36
2016,Esgotamento,Região Metropolitana de Recife (PE),163.532,12.92
2016,Esgotamento,Região Metropolitana de Maceió (AL),101.355,25.71
2016,Esgotamento,Região Metropolitana de Aracaju (SE),9.834,3.24
2016,Esgotamento,Região Metropolitana de Salvador (BA),42.993,3.31
2017,Esgotamento,Região Metropolitana de Fortaleza (CE),58.819,4.9
2017,Esgotamento,Região Metropolitana de Natal (RN),193.998,45.4
2017,Esgotamento,Região Metropolitana de João Pessoa (PB),13.890,3.69
2017,Esgotamento,Região Metropolitana de Recife (PE),143.750,11.08
2017,Esgotamento,Região Metropolitana de Maceió (AL),87.410,20.77
2017,Esgotamento,Região Metropolitana de Aracaju (SE),15.324,5.0
2017,Esgotamento,Região Metropolitana de Salvador (BA),45.093,3.33
2018,Esgotamento,Região Metropolitana de Fortaleza (CE),73.375,5.79
2018,Esgotamento,Região Metropolitana de Natal (RN),192.029,44.46
2018,Esgotamento,Região Metropolitana de João Pessoa (PB),17.263,4.61
2018,Esgotamento,Região Metropolitana de Recife (PE),213.634,16.17
2018,Esgotamento,Região Metropolitana de Maceió (AL),65.759,14.75
2018,Esgotamento,Região Metropolitana de Aracaju (SE),19.913,6.5
2018,Esgotamento,Região Metropolitana de Salvador (BA),22.949,1.69
2019,Esgotamento,Região Metropolitana de Fortaleza (CE),52.818,4.25
2019,Esgotamento,Região Metropolitana de Natal (RN),197.226,42.83
2019,Esgotamento,Região Metropolitana de João Pessoa (PB),12.394,3.11
2019,Esgotamento,Região Metropolitana de Recife (PE),192.033,14.24
2019,Esgotamento,Região Metropolitana de Maceió (AL),89.881,19.2
2019,Esgotamento,Região Metropolitana de Aracaju (SE),31.219,9.75
2019,Esgotamento,Região Metropolitana de Salvador (BA),37.761,2.66
