ano,inadequação,região,contagem,valor_percentual
2016,piso inadequado,Região Metropolitana de Fortaleza (CE),5.153,0.44
2016,piso inadequado,Região Metropolitana de Natal (RN),643.0,0.16
2016,piso inadequado,Região Metropolitana de João Pessoa (PB),0.0,0.0
2016,piso inadequado,Região Metropolitana de Recife (PE),3.386,0.27
2016,piso inadequado,Região Metropolitana de Maceió (AL),678.0,0.17
2016,piso inadequado,Região Metropolitana de Aracaju (SE),588.0,0.19
2016,piso inadequado,Região Metropolitana de Salvador (BA),2.091,0.16
2017,piso inadequado,Região Metropolitana de Fortaleza (CE),3.142,0.26
2017,piso inadequado,Região Metropolitana de Natal (RN),318.0,0.07
2017,piso inadequado,Região Metropolitana de João Pessoa (PB),397.0,0.11
2017,piso inadequado,Região Metropolitana de Recife (PE),2.262,0.17
2017,piso inadequado,Região Metropolitana de Maceió (AL),490.0,0.12
2017,piso inadequado,Região Metropolitana de Aracaju (SE),0.0,0.0
2017,piso inadequado,Região Metropolitana de Salvador (BA),1.139,0.08
2018,piso inadequado,Região Metropolitana de Fortaleza (CE),6.066,0.48
2018,piso inadequado,Região Metropolitana de Natal (RN),185.0,0.04
2018,piso inadequado,Região Metropolitana de João Pessoa (PB),290.0,0.08
2018,piso inadequado,Região Metropolitana de Recife (PE),1.689,0.13
2018,piso inadequado,Região Metropolitana de Maceió (AL),449.0,0.1
2018,piso inadequado,Região Metropolitana de Aracaju (SE),415.0,0.14
2018,piso inadequado,Região Metropolitana de Salvador (BA),1.448,0.11
2019,piso inadequado,Região Metropolitana de Fortaleza (CE),1.526,0.12
2019,piso inadequado,Região Metropolitana de Natal (RN),0.0,0.0
2019,piso inadequado,Região Metropolitana de João Pessoa (PB),748.0,0.19
2019,piso inadequado,Região Metropolitana de Recife (PE),1.769,0.13
2019,piso inadequado,Região Metropolitana de Maceió (AL),680.0,0.15
2019,piso inadequado,Região Metropolitana de Aracaju (SE),0.0,0.0
2019,piso inadequado,Região Metropolitana de Salvador (BA),1.174,0.08
