ano,inadequação,região,contagem,valor_percentual
2016,Domicílios inadequados,Região Metropolitana de Fortaleza (CE),554.169,47.12
2016,Domicílios inadequados,Região Metropolitana de Natal (RN),259.525,62.87
2016,Domicílios inadequados,Região Metropolitana de João Pessoa (PB),203.724,54.83
2016,Domicílios inadequados,Região Metropolitana de Recife (PE),783.118,61.86
2016,Domicílios inadequados,Região Metropolitana de Maceió (AL),234.767,59.55
2016,Domicílios inadequados,Região Metropolitana de Aracaju (SE),126.465,41.71
2016,Domicílios inadequados,Região Metropolitana de Salvador (BA),628.964,48.36
2017,Domicílios inadequados,Região Metropolitana de Fortaleza (CE),553.822,46.14
2017,Domicílios inadequados,Região Metropolitana de Natal (RN),285.290,66.76
2017,Domicílios inadequados,Região Metropolitana de João Pessoa (PB),205.625,54.69
2017,Domicílios inadequados,Região Metropolitana de Recife (PE),819.073,63.14
2017,Domicílios inadequados,Região Metropolitana de Maceió (AL),238.099,56.57
2017,Domicílios inadequados,Região Metropolitana de Aracaju (SE),97.951,31.98
2017,Domicílios inadequados,Região Metropolitana de Salvador (BA),715.604,52.88
2018,Domicílios inadequados,Região Metropolitana de Fortaleza (CE),578.824,45.65
2018,Domicílios inadequados,Região Metropolitana de Natal (RN),233.677,54.1
2018,Domicílios inadequados,Região Metropolitana de João Pessoa (PB),234.349,62.56
2018,Domicílios inadequados,Região Metropolitana de Recife (PE),894.706,67.72
2018,Domicílios inadequados,Região Metropolitana de Maceió (AL),232.504,52.15
2018,Domicílios inadequados,Região Metropolitana de Aracaju (SE),104.285,34.05
2018,Domicílios inadequados,Região Metropolitana de Salvador (BA),598.446,44.14
2019,Domicílios inadequados,Região Metropolitana de Fortaleza (CE),528.811,42.57
2019,Domicílios inadequados,Região Metropolitana de Natal (RN),246.709,53.58
2019,Domicílios inadequados,Região Metropolitana de João Pessoa (PB),241.980,60.7
2019,Domicílios inadequados,Região Metropolitana de Recife (PE),1.003.801,74.44
2019,Domicílios inadequados,Região Metropolitana de Maceió (AL),232.596,49.69
2019,Domicílios inadequados,Região Metropolitana de Aracaju (SE),119.118,37.19
2019,Domicílios inadequados,Região Metropolitana de Salvador (BA),668.754,47.07
