ano,inadequação,região,contagem,valor_percentual
2016,Abastecimento de água,Maranhão,575.009,45.8
2016,Abastecimento de água,Piauí,63.866,9.91
2016,Abastecimento de água,Ceará,577.354,26.81
2016,Abastecimento de água,Rio Grande do Norte,346.964,41.76
2016,Abastecimento de água,Paraíba,503.471,52.83
2016,Abastecimento de água,Pernambuco,1.494.087,59.85
2016,Abastecimento de água,Alagoas,219.603,29.1
2016,Abastecimento de água,Sergipe,107.643,19.59
2016,Abastecimento de água,Bahia,1.188.644,33.29
2017,Abastecimento de água,Maranhão,531.055,41.38
2017,Abastecimento de água,Piauí,77.891,11.73
2017,Abastecimento de água,Ceará,525.936,24.08
2017,Abastecimento de água,Rio Grande do Norte,387.870,46.14
2017,Abastecimento de água,Paraíba,466.098,48.24
2017,Abastecimento de água,Pernambuco,1.655.483,65.99
2017,Abastecimento de água,Alagoas,254.267,32.47
2017,Abastecimento de água,Sergipe,138.650,24.4
2017,Abastecimento de água,Bahia,1.202.732,33.49
2018,Abastecimento de água,Maranhão,545.216,42.35
2018,Abastecimento de água,Piauí,63.470,9.79
2018,Abastecimento de água,Ceará,506.196,22.45
2018,Abastecimento de água,Rio Grande do Norte,352.924,41.26
2018,Abastecimento de água,Paraíba,329.608,33.88
2018,Abastecimento de água,Pernambuco,1.694.523,66.17
2018,Abastecimento de água,Alagoas,223.548,27.59
2018,Abastecimento de água,Sergipe,136.622,24.05
2018,Abastecimento de água,Bahia,1.042.985,29.35
2019,Abastecimento de água,Maranhão,513.734,37.18
2019,Abastecimento de água,Piauí,62.501,9.54
2019,Abastecimento de água,Ceará,498.446,22.32
2019,Abastecimento de água,Rio Grande do Norte,325.752,36.47
2019,Abastecimento de água,Paraíba,380.489,38.04
2019,Abastecimento de água,Pernambuco,1.832.706,68.46
2019,Abastecimento de água,Alagoas,223.823,26.15
2019,Abastecimento de água,Sergipe,191.203,31.77
2019,Abastecimento de água,Bahia,1.109.536,30.0
2016,Ausência de banheiro,Maranhão,31.952,2.55
