ano,inadequação,região,contagem,valor_percentual
2016,Abastecimento de água,Região Metropolitana de Fortaleza (CE),175.679,14.94
2016,Abastecimento de água,Região Metropolitana de Natal (RN),51.71,12.53
2016,Abastecimento de água,Região Metropolitana de João Pessoa (PB),59.523,16.02
2016,Abastecimento de água,Região Metropolitana de Recife (PE),586.732,46.34
2016,Abastecimento de água,Região Metropolitana de Maceió (AL),86.256,21.88
2016,Abastecimento de água,Região Metropolitana de Aracaju (SE),13.958,4.6
2016,Abastecimento de água,Região Metropolitana de Salvador (BA),290.59,22.34
2017,Abastecimento de água,Região Metropolitana de Fortaleza (CE),141.563,11.79
2017,Abastecimento de água,Região Metropolitana de Natal (RN),83.286,19.49
2017,Abastecimento de água,Região Metropolitana de João Pessoa (PB),42.763,11.37
2017,Abastecimento de água,Região Metropolitana de Recife (PE),638.304,49.2
2017,Abastecimento de água,Região Metropolitana de Maceió (AL),71.325,16.95
2017,Abastecimento de água,Região Metropolitana de Aracaju (SE),11.854,3.87
2017,Abastecimento de água,Região Metropolitana de Salvador (BA),332.469,24.57
2018,Abastecimento de água,Região Metropolitana de Fortaleza (CE),163.764,12.92
2018,Abastecimento de água,Região Metropolitana de Natal (RN),39.943,9.25
2018,Abastecimento de água,Região Metropolitana de João Pessoa (PB),50.229,13.41
2018,Abastecimento de água,Região Metropolitana de Recife (PE),715.382,54.15
2018,Abastecimento de água,Região Metropolitana de Maceió (AL),67.91,15.23
2018,Abastecimento de água,Região Metropolitana de Aracaju (SE),24.689,8.06
2018,Abastecimento de água,Região Metropolitana de Salvador (BA),246.91,18.21
2019,Abastecimento de água,Região Metropolitana de Fortaleza (CE),164.578,13.25
2019,Abastecimento de água,Região Metropolitana de Natal (RN),52.331,11.37
2019,Abastecimento de água,Região Metropolitana de João Pessoa (PB),67.08,16.83
2019,Abastecimento de água,Região Metropolitana de Recife (PE),806.249,59.79
2019,Abastecimento de água,Região Metropolitana de Maceió (AL),60.27,12.88
2019,Abastecimento de água,Região Metropolitana de Aracaju (SE),45.957,14.35
2019,Abastecimento de água,Região Metropolitana de Salvador (BA),225.406,15.87
2016,Ausência de banheiro,Região Metropolitana de Fortaleza (CE),34.309,2.92
2016,Ausência de banheiro,Região Metropolitana de Natal (RN),0.0,0.0
2016,Ausência de banheiro,Região Metropolitana de João Pessoa (PB),1.006,0.27
2016,Ausência de banheiro,Região Metropolitana de Recife (PE),2.661,0.21
2016,Ausência de banheiro,Região Metropolitana de Maceió (AL),938.0,0.24
2016,Ausência de banheiro,Região Metropolitana de Aracaju (SE),936.0,0.31
2016,Ausência de banheiro,Região Metropolitana de Salvador (BA),5.716,0.44
2017,Ausência de banheiro,Região Metropolitana de Fortaleza (CE),7.371,0.61
2017,Ausência de banheiro,Região Metropolitana de Natal (RN),700.0,0.16
2017,Ausência de banheiro,Região Metropolitana de João Pessoa (PB),923.0,0.25
2017,Ausência de banheiro,Região Metropolitana de Recife (PE),1.568,0.12
2017,Ausência de banheiro,Região Metropolitana de Maceió (AL),664.0,0.16
2017,Ausência de banheiro,Região Metropolitana de Aracaju (SE),0.0,0.0
2017,Ausência de banheiro,Região Metropolitana de Salvador (BA),9.42,0.7
2018,Ausência de banheiro,Região Metropolitana de Fortaleza (CE),8.557,0.67
2018,Ausência de banheiro,Região Metropolitana de Natal (RN),349.0,0.08
2018,Ausência de banheiro,Região Metropolitana de João Pessoa (PB),2.148,0.57
2018,Ausência de banheiro,Região Metropolitana de Recife (PE),5.833,0.44
2018,Ausência de banheiro,Região Metropolitana de Maceió (AL),823.0,0.18
2018,Ausência de banheiro,Região Metropolitana de Aracaju (SE),692.0,0.23
2018,Ausência de banheiro,Região Metropolitana de Salvador (BA),6.415,0.47
2019,Ausência de banheiro,Região Metropolitana de Fortaleza (CE),3.933,0.32
2019,Ausência de banheiro,Região Metropolitana de Natal (RN),0.0,0.0
2019,Ausência de banheiro,Região Metropolitana de João Pessoa (PB),4.092,1.03
2019,Ausência de banheiro,Região Metropolitana de Recife (PE),6.888,0.51
2019,Ausência de banheiro,Região Metropolitana de Maceió (AL),1.99,0.43
2019,Ausência de banheiro,Região Metropolitana de Aracaju (SE),926.0,0.29
2019,Ausência de banheiro,Região Metropolitana de Salvador (BA),4.528,0.32
2016,Coleta de lixo,Região Metropolitana de Fortaleza (CE),21.445,1.82
2016,Coleta de lixo,Região Metropolitana de Natal (RN),3.238,0.78
2016,Coleta de lixo,Região Metropolitana de João Pessoa (PB),10.458,2.81
2016,Coleta de lixo,Região Metropolitana de Recife (PE),29.591,2.34
2016,Coleta de lixo,Região Metropolitana de Maceió (AL),2.583,0.66
2016,Coleta de lixo,Região Metropolitana de Aracaju (SE),3.585,1.18
2016,Coleta de lixo,Região Metropolitana de Salvador (BA),47.223,3.63
2017,Coleta de lixo,Região Metropolitana de Fortaleza (CE),30.21,2.52
2017,Coleta de lixo,Região Metropolitana de Natal (RN),3.484,0.82
2017,Coleta de lixo,Região Metropolitana de João Pessoa (PB),4.48,1.19
2017,Coleta de lixo,Região Metropolitana de Recife (PE),31.398,2.42
2017,Coleta de lixo,Região Metropolitana de Maceió (AL),2.851,0.68
2017,Coleta de lixo,Região Metropolitana de Aracaju (SE),7.012,2.29
2017,Coleta de lixo,Região Metropolitana de Salvador (BA),22.783,1.68
2018,Coleta de lixo,Região Metropolitana de Fortaleza (CE),9.061,0.71
2018,Coleta de lixo,Região Metropolitana de Natal (RN),4.603,1.07
2018,Coleta de lixo,Região Metropolitana de João Pessoa (PB),3.846,1.03
2018,Coleta de lixo,Região Metropolitana de Recife (PE),41.7,3.16
2018,Coleta de lixo,Região Metropolitana de Maceió (AL),4.742,1.06
2018,Coleta de lixo,Região Metropolitana de Aracaju (SE),10.099,3.3
2018,Coleta de lixo,Região Metropolitana de Salvador (BA),11.728,0.86
2019,Coleta de lixo,Região Metropolitana de Fortaleza (CE),5.802,0.47
2019,Coleta de lixo,Região Metropolitana de Natal (RN),3.651,0.79
2019,Coleta de lixo,Região Metropolitana de João Pessoa (PB),6.128,1.54
2019,Coleta de lixo,Região Metropolitana de Recife (PE),58.919,4.37
2019,Coleta de lixo,Região Metropolitana de Maceió (AL),6.479,1.38
2019,Coleta de lixo,Região Metropolitana de Aracaju (SE),6.541,2.04
2019,Coleta de lixo,Região Metropolitana de Salvador (BA),10.523,0.74
2016,Esgotamento,Região Metropolitana de Fortaleza (CE),59.41,5.05
2016,Esgotamento,Região Metropolitana de Natal (RN),179.057,43.37
2016,Esgotamento,Região Metropolitana de João Pessoa (PB),12.47,3.36
2016,Esgotamento,Região Metropolitana de Recife (PE),163.532,12.92
2016,Esgotamento,Região Metropolitana de Maceió (AL),101.355,25.71
2016,Esgotamento,Região Metropolitana de Aracaju (SE),9.834,3.24
2016,Esgotamento,Região Metropolitana de Salvador (BA),42.993,3.31
2017,Esgotamento,Região Metropolitana de Fortaleza (CE),58.819,4.9
2017,Esgotamento,Região Metropolitana de Natal (RN),193.998,45.4
2017,Esgotamento,Região Metropolitana de João Pessoa (PB),13.89,3.69
2017,Esgotamento,Região Metropolitana de Recife (PE),143.75,11.08
2017,Esgotamento,Região Metropolitana de Maceió (AL),87.41,20.77
2017,Esgotamento,Região Metropolitana de Aracaju (SE),15.324,5.0
2017,Esgotamento,Região Metropolitana de Salvador (BA),45.093,3.33
2018,Esgotamento,Região Metropolitana de Fortaleza (CE),73.375,5.79
2018,Esgotamento,Região Metropolitana de Natal (RN),192.029,44.46
2018,Esgotamento,Região Metropolitana de João Pessoa (PB),17.263,4.61
2018,Esgotamento,Região Metropolitana de Recife (PE),213.634,16.17
2018,Esgotamento,Região Metropolitana de Maceió (AL),65.759,14.75
2018,Esgotamento,Região Metropolitana de Aracaju (SE),19.913,6.5
2018,Esgotamento,Região Metropolitana de Salvador (BA),22.949,1.69
2019,Esgotamento,Região Metropolitana de Fortaleza (CE),52.818,4.25
2019,Esgotamento,Região Metropolitana de Natal (RN),197.226,42.83
2019,Esgotamento,Região Metropolitana de João Pessoa (PB),12.394,3.11
2019,Esgotamento,Região Metropolitana de Recife (PE),192.033,14.24
2019,Esgotamento,Região Metropolitana de Maceió (AL),89.881,19.2
2019,Esgotamento,Região Metropolitana de Aracaju (SE),31.219,9.75
2019,Esgotamento,Região Metropolitana de Salvador (BA),37.761,2.66
