ano,inadequação,região,contagem,valor_percentual
2016,Abastecimento de água,Nordeste,5.076.641,38.43
2017,Abastecimento de água,Nordeste,5.239.983,39.13
2018,Abastecimento de água,Nordeste,4.895.094,36.23
2019,Abastecimento de água,Nordeste,5.138.189,36.71
2016,Ausência de banheiro,Nordeste,129.39,0.98
2017,Ausência de banheiro,Nordeste,181.179,1.35
2018,Ausência de banheiro,Nordeste,211.147,1.56
2019,Ausência de banheiro,Nordeste,188.848,1.35
2016,Coleta de lixo,Nordeste,469.578,3.56
2017,Coleta de lixo,Nordeste,375.891,2.81
2018,Coleta de lixo,Nordeste,307.574,2.28
2019,Coleta de lixo,Nordeste,317.943,2.27
2016,Esgotamento,Nordeste,1.913.255,14.48
2017,Esgotamento,Nordeste,1.914.982,14.3
2018,Esgotamento,Nordeste,1.998.763,14.79
2019,Esgotamento,Nordeste,2.074.311,14.82
2016,Inadequação fundiária,Nordeste,606.022,4.59
2017,Inadequação fundiária,Nordeste,747.768,5.58
2018,Inadequação fundiária,Nordeste,688.126,5.09
2019,Inadequação fundiária,Nordeste,802.4,5.73
2016,piso inadequado,Nordeste,39.98,0.3
2017,piso inadequado,Nordeste,30.225,0.23
2018,piso inadequado,Nordeste,39.884,0.3
2019,piso inadequado,Nordeste,29.342,0.21
2016,Domicílios inadequados,Nordeste,8.375.961,63.41
2017,Domicílios inadequados,Nordeste,8.527.932,63.69
2018,Domicílios inadequados,Nordeste,8.305.239,61.47
2019,Domicílios inadequados,Nordeste,8.682.513,62.03
