ano,inadequação,região,contagem,porcentagem_em_relação_ao_total_de_domicílios_particulares_permanentes_duráveis_urbanos
2016,Abastecimento de água,Norte,1.442.751,"39,28%"
2016,Abastecimento de água,Rondônia,189.677,"48,47%"
2016,Abastecimento de água,Acre,131.114,"75,34%"
2016,Abastecimento de água,Amazonas,215.834,"25,96%"
2016,Abastecimento de água,Região Metropolitana de Manaus (AM),144.927,"23,22%"
2016,Abastecimento de água,Roraima,6.283,"5,84%"
2016,Abastecimento de água,Pará,802.482,"50,18%"
2016,Abastecimento de água,Região Metropolitana de Belém (PA),256.661,"41,62%"
2016,Abastecimento de água,Amapá,69.644,"37,88%"
2016,Abastecimento de água,Região Metropolitana de Macapá (AP),59.283,"41,33%"
2016,Abastecimento de água,Tocantins,27.717,"7,19%"
2016,Abastecimento de água,Nordeste,5.076.641,"38,43%"
2016,Abastecimento de água,Maranhão,575.009,"45,80%"
2016,Abastecimento de água,"Região Metropolitana de Grande São
Luís (MA)",192.835,"59,47%"
2016,Abastecimento de água,Piauí,63.866,"9,91%"
2016,Abastecimento de água,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",23.223,"7,66%"
2016,Abastecimento de água,Ceará,577.354,"26,81%"
2016,Abastecimento de água,Região Metropolitana de Fortaleza (CE),175.679,"14,94%"
2016,Abastecimento de água,Rio Grande do Norte,346.964,"41,76%"
2016,Abastecimento de água,Região Metropolitana de Natal (RN),51.710,"12,53%"
2016,Abastecimento de água,Paraíba,503.471,"52,83%"
2016,Abastecimento de água,Região Metropolitana de João Pessoa (PB),59.523,"16,02%"
2016,Abastecimento de água,Pernambuco,1.494.087,"59,85%"
2016,Abastecimento de água,Região Metropolitana de Recife (PE),586.732,"46,34%"
2016,Abastecimento de água,Alagoas,219.603,"29,10%"
2016,Abastecimento de água,Região Metropolitana de Maceió (AL),86.256,"21,88%"
2016,Abastecimento de água,Sergipe,107.643,"19,59%"
2016,Abastecimento de água,Região Metropolitana de Aracaju (SE),13.958,"4,60%"
2016,Abastecimento de água,Bahia,1.188.644,"33,29%"
2016,Abastecimento de água,Região Metropolitana de Salvador (BA),290.590,"22,34%"
2016,Abastecimento de água,Sudeste,2.828.824,"10,32%"
2016,Abastecimento de água,Minas Gerais,327.207,"5,44%"
2016,Abastecimento de água,Região Metropolitana de Belo Horizonte (MG),33.933,"2,02%"
2016,Abastecimento de água,Espírito Santo,58.178,"5,13%"
2016,Abastecimento de água,Região Metropolitana de Grande Vitória (ES),24.513,"3,82%"
2016,Abastecimento de água,Rio de Janeiro,1.376.118,"23,43%"
2016,Abastecimento de água,Região Metropolitana de Rio de Janeiro (RJ),1.141.458,"25,44%"
2016,Abastecimento de água,São Paulo,1.067.320,"7,42%"
2016,Abastecimento de água,Região Metropolitana de São Paulo (SP),859.312,"12,22%"
2016,Abastecimento de água,Sul,454.433,"5,21%"
2016,Abastecimento de água,Paraná,113.683,"3,45%"
2016,Abastecimento de água,Região Metropolitana de Curitiba (PR),32.437,"2,94%"
2016,Abastecimento de água,Santa Catarina,184.739,"9,36%"
2016,Abastecimento de água,Região Metropolitana de Florianópolis (SC),19.541,"5,72%"
2016,Abastecimento de água,Rio Grande do Sul,156.011,"4,51%"
2016,Abastecimento de água,Região Metropolitana de Porto Alegre (RS),86.929,"5,93%"
2016,Abastecimento de água,Centro-Oeste,501.325,"10,98%"
2016,Abastecimento de água,Mato Grosso do Sul,44.237,"5,73%"
2016,Abastecimento de água,Mato Grosso,255.448,"28,21%"
2016,Abastecimento de água,Região Metropolitana de Vale do Rio Cuiabá (MT),161.018,"58,81%"
2016,Abastecimento de água,Goiás,183.225,"9,15%"
2016,Abastecimento de água,Região Metropolitana de Goiânia (GO),92.997,"11,89%"
2016,Abastecimento de água,Distrito Federal,18.416,"2,08%"
2016,Abastecimento de água,Brasil,10.303.974,"17,89%"
2017,Abastecimento de água,Norte,1.521.656,"39,98%"
2017,Abastecimento de água,Rondônia,193.375,"46,61%"
2017,Abastecimento de água,Acre,127.021,"72,84%"
2017,Abastecimento de água,Amazonas,189.068,"21,85%"
2017,Abastecimento de água,Região Metropolitana de Manaus (AM),113.592,"17,50%"
2017,Abastecimento de água,Roraima,5.427,"4,75%"
2017,Abastecimento de água,Pará,863.618,"51,95%"
2017,Abastecimento de água,Região Metropolitana de Belém (PA),253.917,"40,49%"
2017,Abastecimento de água,Amapá,99.514,"53,33%"
2017,Abastecimento de água,Região Metropolitana de Macapá (AP),73.065,"50,12%"
2017,Abastecimento de água,Tocantins,43.633,"11,24%"
2017,Abastecimento de água,Nordeste,5.239.983,"39,13%"
2017,Abastecimento de água,Maranhão,531.055,"41,38%"
2017,Abastecimento de água,"Região Metropolitana de Grande São
Luís (MA)",182.175,"54,92%"
2017,Abastecimento de água,Piauí,77.891,"11,73%"
2017,Abastecimento de água,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",23.605,"7,43%"
2017,Abastecimento de água,Ceará,525.936,"24,08%"
2017,Abastecimento de água,Região Metropolitana de Fortaleza (CE),141.563,"11,79%"
2017,Abastecimento de água,Rio Grande do Norte,387.870,"46,14%"
2017,Abastecimento de água,Região Metropolitana de Natal (RN),83.286,"19,49%"
2017,Abastecimento de água,Paraíba,466.098,"48,24%"
2017,Abastecimento de água,Região Metropolitana de João Pessoa (PB),42.763,"11,37%"
2017,Abastecimento de água,Pernambuco,1.655.483,"65,99%"
2017,Abastecimento de água,Região Metropolitana de Recife (PE),638.304,"49,20%"
2017,Abastecimento de água,Alagoas,254.267,"32,47%"
2017,Abastecimento de água,Região Metropolitana de Maceió (AL),71.325,"16,95%"
2017,Abastecimento de água,Sergipe,138.650,"24,40%"
2017,Abastecimento de água,Região Metropolitana de Aracaju (SE),11.854,"3,87%"
2017,Abastecimento de água,Bahia,1.202.732,"33,49%"
2017,Abastecimento de água,Região Metropolitana de Salvador (BA),332.469,"24,57%"
2017,Abastecimento de água,Sudeste,2.332.329,"8,43%"
2017,Abastecimento de água,Minas Gerais,414.202,"6,76%"
2017,Abastecimento de água,Região Metropolitana de Belo Horizonte (MG),58.694,"3,31%"
2017,Abastecimento de água,Espírito Santo,41.192,"3,64%"
2017,Abastecimento de água,Região Metropolitana de Grande Vitória (ES),21.451,"3,38%"
2017,Abastecimento de água,Rio de Janeiro,1.169.975,"19,64%"
2017,Abastecimento de água,Região Metropolitana de Rio de Janeiro (RJ),912.312,"20,16%"
2017,Abastecimento de água,São Paulo,706.960,"4,89%"
2017,Abastecimento de água,Região Metropolitana de São Paulo (SP),450.932,"6,42%"
2017,Abastecimento de água,Sul,513.206,"5,82%"
2017,Abastecimento de água,Paraná,159.177,"4,81%"
2017,Abastecimento de água,Região Metropolitana de Curitiba (PR),42.605,"3,84%"
2017,Abastecimento de água,Santa Catarina,168.202,"8,26%"
2017,Abastecimento de água,Região Metropolitana de Florianópolis (SC),16.115,"4,55%"
2017,Abastecimento de água,Rio Grande do Sul,185.826,"5,34%"
2017,Abastecimento de água,Região Metropolitana de Porto Alegre (RS),97.067,"6,63%"
2017,Abastecimento de água,Centro-Oeste,1.108.012,"23,59%"
2017,Abastecimento de água,Mato Grosso do Sul,69.332,"8,82%"
2017,Abastecimento de água,Mato Grosso,244.545,"26,80%"
2017,Abastecimento de água,Região Metropolitana de Vale do Rio Cuiabá (MT),158.394,"55,61%"
2017,Abastecimento de água,Goiás,253.865,"12,22%"
2017,Abastecimento de água,Região Metropolitana de Goiânia (GO),142.211,"17,18%"
2017,Abastecimento de água,Distrito Federal,540.270,"58,63%"
2017,Abastecimento de água,Brasil,10.715.185,"18,35%"
2018,Abastecimento de água,Norte,1.593.482,"40,26%"
2018,Abastecimento de água,Rondônia,217.089,"50,19%"
2018,Abastecimento de água,Acre,135.744,"72,94%"
2018,Abastecimento de água,Amazonas,196.634,"21,73%"
2018,Abastecimento de água,Região Metropolitana de Manaus (AM),124.912,"18,01%"
2018,Abastecimento de água,Roraima,4.113,"3,29%"
2018,Abastecimento de água,Pará,908.095,"52,80%"
2018,Abastecimento de água,Região Metropolitana de Belém (PA),284.868,"44,00%"
2018,Abastecimento de água,Amapá,105.838,"55,77%"
2018,Abastecimento de água,Região Metropolitana de Macapá (AP),80.845,"53,02%"
2018,Abastecimento de água,Tocantins,25.969,"6,49%"
2018,Abastecimento de água,Nordeste,4.895.094,"36,23%"
2018,Abastecimento de água,Maranhão,545.216,"42,35%"
2018,Abastecimento de água,"Região Metropolitana de Grande São
Luís (MA)",181.452,"52,96%"
2018,Abastecimento de água,Piauí,63.470,"9,79%"
2018,Abastecimento de água,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",27.377,"8,96%"
2018,Abastecimento de água,Ceará,506.196,"22,45%"
2018,Abastecimento de água,Região Metropolitana de Fortaleza (CE),163.764,"12,92%"
2018,Abastecimento de água,Rio Grande do Norte,352.924,"41,26%"
2018,Abastecimento de água,Região Metropolitana de Natal (RN),39.943,"9,25%"
2018,Abastecimento de água,Paraíba,329.608,"33,88%"
2018,Abastecimento de água,Região Metropolitana de João Pessoa (PB),50.229,"13,41%"
2018,Abastecimento de água,Pernambuco,1.694.523,"66,17%"
2018,Abastecimento de água,Região Metropolitana de Recife (PE),715.382,"54,15%"
2018,Abastecimento de água,Alagoas,223.548,"27,59%"
2018,Abastecimento de água,Região Metropolitana de Maceió (AL),67.910,"15,23%"
2018,Abastecimento de água,Sergipe,136.622,"24,05%"
2018,Abastecimento de água,Região Metropolitana de Aracaju (SE),24.689,"8,06%"
2018,Abastecimento de água,Bahia,1.042.985,"29,35%"
2018,Abastecimento de água,Região Metropolitana de Salvador (BA),246.910,"18,21%"
2018,Abastecimento de água,Sudeste,2.225.493,"7,86%"
2018,Abastecimento de água,Minas Gerais,373.025,"5,96%"
2018,Abastecimento de água,Região Metropolitana de Belo Horizonte (MG),54.060,"3,00%"
2018,Abastecimento de água,Espírito Santo,48.605,"4,15%"
2018,Abastecimento de água,Região Metropolitana de Grande Vitória (ES),29.940,"4,49%"
2018,Abastecimento de água,Rio de Janeiro,1.065.144,"17,70%"
2018,Abastecimento de água,Região Metropolitana de Rio de Janeiro (RJ),802.640,"17,53%"
2018,Abastecimento de água,São Paulo,738.719,"4,96%"
2018,Abastecimento de água,Região Metropolitana de São Paulo (SP),464.697,"6,40%"
2018,Abastecimento de água,Sul,530.492,"5,90%"
2018,Abastecimento de água,Paraná,175.900,"5,25%"
2018,Abastecimento de água,Região Metropolitana de Curitiba (PR),69.572,"6,27%"
2018,Abastecimento de água,Santa Catarina,203.400,"9,66%"
2018,Abastecimento de água,Região Metropolitana de Florianópolis (SC),13.871,"3,80%"
2018,Abastecimento de água,Rio Grande do Sul,151.191,"4,28%"
2018,Abastecimento de água,Região Metropolitana de Porto Alegre (RS),63.399,"4,35%"
2018,Abastecimento de água,Centro-Oeste,845.889,"17,64%"
2018,Abastecimento de água,Mato Grosso do Sul,53.709,"6,71%"
2018,Abastecimento de água,Mato Grosso,219.417,"23,42%"
2018,Abastecimento de água,Região Metropolitana de Vale do Rio Cuiabá (MT),138.879,"46,90%"
2018,Abastecimento de água,Goiás,235.557,"11,06%"
