ano,inadequação,região,contagem,porcentagem_em_relação_ao_total_de_domicílios_particulares_permanentes_duráveis_urbanos
2016,piso inadequado,Norte,16.755,"0,46%"
2016,piso inadequado,Rondônia,1.123,"0,29%"
2016,piso inadequado,Acre,90.0,"0,05%"
2016,piso inadequado,Amazonas,3.533,"0,42%"
2016,piso inadequado,Região Metropolitana de Manaus (AM),1.635,"0,26%"
2016,piso inadequado,Roraima,427.0,"0,40%"
2016,piso inadequado,Pará,9.602,"0,60%"
2016,piso inadequado,Região Metropolitana de Belém (PA),3.604,"0,58%"
2016,piso inadequado,Amapá,189.0,"0,10%"
2016,piso inadequado,Região Metropolitana de Macapá (AP),189.0,"0,13%"
2016,piso inadequado,Tocantins,1.792,"0,46%"
2016,piso inadequado,Nordeste,39.98,"0,30%"
2016,piso inadequado,Maranhão,15.171,"1,21%"
2016,piso inadequado,"Região Metropolitana de Grande São
Luís (MA)",1.354,"0,42%"
2016,piso inadequado,Piauí,2.039,"0,32%"
2016,piso inadequado,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",355.0,"0,12%"
2016,piso inadequado,Ceará,8.525,"0,40%"
2016,piso inadequado,Região Metropolitana de Fortaleza (CE),5.153,"0,44%"
2016,piso inadequado,Rio Grande do Norte,919.0,"0,11%"
2016,piso inadequado,Região Metropolitana de Natal (RN),643.0,"0,16%"
2016,piso inadequado,Paraíba,449.0,"0,05%"
2016,piso inadequado,Região Metropolitana de João Pessoa (PB),0.0,"0,00%"
2016,piso inadequado,Pernambuco,3.815,"0,15%"
2016,piso inadequado,Região Metropolitana de Recife (PE),3.386,"0,27%"
2016,piso inadequado,Alagoas,927.0,"0,12%"
2016,piso inadequado,Região Metropolitana de Maceió (AL),678.0,"0,17%"
2016,piso inadequado,Sergipe,588.0,"0,11%"
2016,piso inadequado,Região Metropolitana de Aracaju (SE),588.0,"0,19%"
2016,piso inadequado,Bahia,7.547,"0,21%"
2016,piso inadequado,Região Metropolitana de Salvador (BA),2.091,"0,16%"
2016,piso inadequado,Sudeste,8.226,"0,03%"
2016,piso inadequado,Minas Gerais,3.512,"0,06%"
2016,piso inadequado,Região Metropolitana de Belo Horizonte (MG),1.407,"0,08%"
2016,piso inadequado,Espírito Santo,290.0,"0,03%"
2016,piso inadequado,Região Metropolitana de Grande Vitória (ES),0.0,"0,00%"
2016,piso inadequado,Rio de Janeiro,690.0,"0,01%"
2016,piso inadequado,Região Metropolitana de Rio de Janeiro (RJ),0.0,"0,00%"
2016,piso inadequado,São Paulo,3.733,"0,03%"
2016,piso inadequado,Região Metropolitana de São Paulo (SP),1.147,"0,02%"
2016,piso inadequado,Sul,3.464,"0,04%"
2016,piso inadequado,Paraná,925.0,"0,03%"
2016,piso inadequado,Região Metropolitana de Curitiba (PR),0.0,"0,00%"
2016,piso inadequado,Santa Catarina,199.0,"0,01%"
2016,piso inadequado,Região Metropolitana de Florianópolis (SC),199.0,"0,06%"
2016,piso inadequado,Rio Grande do Sul,2.34,"0,07%"
2016,piso inadequado,Região Metropolitana de Porto Alegre (RS),950.0,"0,06%"
2016,piso inadequado,Centro-Oeste,5.239,"0,11%"
2016,piso inadequado,Mato Grosso do Sul,2.074,"0,27%"
2016,piso inadequado,Mato Grosso,2.219,"0,25%"
2016,piso inadequado,Região Metropolitana de Vale do Rio Cuiabá (MT),1.279,"0,47%"
2016,piso inadequado,Goiás,647.0,"0,03%"
2016,piso inadequado,Região Metropolitana de Goiânia (GO),350.0,"0,04%"
2016,piso inadequado,Distrito Federal,298.0,"0,03%"
2016,piso inadequado,Brasil,73.663,"0,13%"
2017,piso inadequado,Norte,20.58,"0,54%"
2017,piso inadequado,Rondônia,139.0,"0,03%"
2017,piso inadequado,Acre,0.0,"0,00%"
2017,piso inadequado,Amazonas,5.107,"0,59%"
2017,piso inadequado,Região Metropolitana de Manaus (AM),1.184,"0,18%"
2017,piso inadequado,Roraima,99.0,"0,09%"
2017,piso inadequado,Pará,12.063,"0,73%"
2017,piso inadequado,Região Metropolitana de Belém (PA),5.464,"0,87%"
2017,piso inadequado,Amapá,256.0,"0,14%"
2017,piso inadequado,Região Metropolitana de Macapá (AP),256.0,"0,18%"
2017,piso inadequado,Tocantins,2.915,"0,75%"
2017,piso inadequado,Nordeste,30.225,"0,23%"
2017,piso inadequado,Maranhão,13.201,"1,03%"
2017,piso inadequado,"Região Metropolitana de Grande São
Luís (MA)",797.0,"0,24%"
2017,piso inadequado,Piauí,981.0,"0,15%"
2017,piso inadequado,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",630.0,"0,20%"
2017,piso inadequado,Ceará,4.532,"0,21%"
2017,piso inadequado,Região Metropolitana de Fortaleza (CE),3.142,"0,26%"
2017,piso inadequado,Rio Grande do Norte,943.0,"0,11%"
2017,piso inadequado,Região Metropolitana de Natal (RN),318.0,"0,07%"
2017,piso inadequado,Paraíba,397.0,"0,04%"
2017,piso inadequado,Região Metropolitana de João Pessoa (PB),397.0,"0,11%"
2017,piso inadequado,Pernambuco,3.21,"0,13%"
2017,piso inadequado,Região Metropolitana de Recife (PE),2.262,"0,17%"
2017,piso inadequado,Alagoas,1.61,"0,21%"
2017,piso inadequado,Região Metropolitana de Maceió (AL),490.0,"0,12%"
2017,piso inadequado,Sergipe,0.0,"0,00%"
2017,piso inadequado,Região Metropolitana de Aracaju (SE),0.0,"0,00%"
2017,piso inadequado,Bahia,5.352,"0,15%"
2017,piso inadequado,Região Metropolitana de Salvador (BA),1.139,"0,08%"
2017,piso inadequado,Sudeste,11.724,"0,04%"
2017,piso inadequado,Minas Gerais,8.177,"0,13%"
2017,piso inadequado,Região Metropolitana de Belo Horizonte (MG),1.667,"0,09%"
2017,piso inadequado,Espírito Santo,0.0,"0,00%"
2017,piso inadequado,Região Metropolitana de Grande Vitória (ES),0.0,"0,00%"
2017,piso inadequado,Rio de Janeiro,709.0,"0,01%"
2017,piso inadequado,Região Metropolitana de Rio de Janeiro (RJ),709.0,"0,02%"
2017,piso inadequado,São Paulo,2.838,"0,02%"
2017,piso inadequado,Região Metropolitana de São Paulo (SP),1.837,"0,03%"
2017,piso inadequado,Sul,3.226,"0,04%"
2017,piso inadequado,Paraná,3.226,"0,10%"
2017,piso inadequado,Região Metropolitana de Curitiba (PR),589.0,"0,05%"
2017,piso inadequado,Santa Catarina,0.0,"0,00%"
2017,piso inadequado,Região Metropolitana de Florianópolis (SC),0.0,"0,00%"
2017,piso inadequado,Rio Grande do Sul,0.0,"0,00%"
2017,piso inadequado,Região Metropolitana de Porto Alegre (RS),0.0,"0,00%"
2017,piso inadequado,Centro-Oeste,4.021,"0,09%"
2017,piso inadequado,Mato Grosso do Sul,259.0,"0,03%"
2017,piso inadequado,Mato Grosso,398.0,"0,04%"
2017,piso inadequado,Região Metropolitana de Vale do Rio Cuiabá (MT),0.0,"0,00%"
2017,piso inadequado,Goiás,2.096,"0,10%"
2017,piso inadequado,Região Metropolitana de Goiânia (GO),1.631,"0,20%"
2017,piso inadequado,Distrito Federal,1.268,"0,14%"
2017,piso inadequado,Brasil,69.776,"0,12%"
2018,piso inadequado,Norte,9.031,"0,23%"
2018,piso inadequado,Rondônia,372.0,"0,09%"
2018,piso inadequado,Acre,0.0,"0,00%"
2018,piso inadequado,Amazonas,1.877,"0,21%"
2018,piso inadequado,Região Metropolitana de Manaus (AM),659.0,"0,10%"
2018,piso inadequado,Roraima,373.0,"0,30%"
2018,piso inadequado,Pará,5.169,"0,30%"
2018,piso inadequado,Região Metropolitana de Belém (PA),2.682,"0,41%"
2018,piso inadequado,Amapá,165.0,"0,09%"
