Ano,Inadequação,Região,Contagem,Porcentagem em relação ao total de domicílios particulares permanentes duráveis urbanos 
2016,Inadequação fundiária,Norte,103.312,"2,81%"
2016,Inadequação fundiária,Rondônia,8.049,"2,06%"
2016,Inadequação fundiária,Acre,6.933,"3,98%"
2016,Inadequação fundiária,Amazonas,18.945,"2,28%"
2016,Inadequação fundiária,Região Metropolitana de Manaus (AM),14.616,"2,34%"
2016,Inadequação fundiária,Roraima,1.370,"1,27%"
2016,Inadequação fundiária,Pará,44.145,"2,76%"
2016,Inadequação fundiária,Região Metropolitana de Belém (PA),30.548,"4,95%"
2016,Inadequação fundiária,Amapá,19.208,"10,45%"
2016,Inadequação fundiária,Região Metropolitana de Macapá (AP),17.731,"12,36%"
2016,Inadequação fundiária,Tocantins,4.663,"1,21%"
2016,Inadequação fundiária,Nordeste,606.022,"4,59%"
2016,Inadequação fundiária,Maranhão,34.290,"2,73%"
2016,Inadequação fundiária,"Região Metropolitana de Grande São
Luís (MA)",11.770,"3,63%"
2016,Inadequação fundiária,Piauí,9.387,"1,46%"
2016,Inadequação fundiária,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",5.373,"1,77%"
2016,Inadequação fundiária,Ceará,102.920,"4,78%"
2016,Inadequação fundiária,Região Metropolitana de Fortaleza (CE),66.027,"5,61%"
2016,Inadequação fundiária,Rio Grande do Norte,40.096,"4,83%"
2016,Inadequação fundiária,Região Metropolitana de Natal (RN),36.159,"8,76%"
2016,Inadequação fundiária,Paraíba,22.288,"2,34%"
2016,Inadequação fundiária,Região Metropolitana de João Pessoa (PB),12.356,"3,33%"
2016,Inadequação fundiária,Pernambuco,140.584,"5,63%"
2016,Inadequação fundiária,Região Metropolitana de Recife (PE),108.977,"8,61%"
2016,Inadequação fundiária,Alagoas,19.153,"2,54%"
2016,Inadequação fundiária,Região Metropolitana de Maceió (AL),14.798,"3,75%"
2016,Inadequação fundiária,Sergipe,20.341,"3,70%"
2016,Inadequação fundiária,Região Metropolitana de Aracaju (SE),16.117,"5,32%"
2016,Inadequação fundiária,Bahia,216.962,"6,08%"
2016,Inadequação fundiária,Região Metropolitana de Salvador (BA),90.289,"6,94%"
2016,Inadequação fundiária,Sudeste,1.263.301,"4,61%"
2016,Inadequação fundiária,Minas Gerais,202.411,"3,36%"
2016,Inadequação fundiária,Região Metropolitana de Belo Horizonte (MG),91.814,"5,46%"
2016,Inadequação fundiária,Espírito Santo,67.942,"6,00%"
2016,Inadequação fundiária,Região Metropolitana de Grande Vitória (ES),43.610,"6,80%"
2016,Inadequação fundiária,Rio de Janeiro,474.104,"8,07%"
2016,Inadequação fundiária,Região Metropolitana de Rio de Janeiro (RJ),419.891,"9,36%"
2016,Inadequação fundiária,São Paulo,518.843,"3,61%"
2016,Inadequação fundiária,Região Metropolitana de São Paulo (SP),274.517,"3,91%"
2016,Inadequação fundiária,Sul,337.751,"3,87%"
2016,Inadequação fundiária,Paraná,106.360,"3,23%"
2016,Inadequação fundiária,Região Metropolitana de Curitiba (PR),29.597,"2,68%"
2016,Inadequação fundiária,Santa Catarina,99.522,"5,04%"
2016,Inadequação fundiária,Região Metropolitana de Florianópolis (SC),23.409,"6,86%"
2016,Inadequação fundiária,Rio Grande do Sul,131.869,"3,81%"
2016,Inadequação fundiária,Região Metropolitana de Porto Alegre (RS),43.107,"2,94%"
2016,Inadequação fundiária,Centro-Oeste,129.278,"2,83%"
2016,Inadequação fundiária,Mato Grosso do Sul,12.629,"1,63%"
2016,Inadequação fundiária,Mato Grosso,15.339,"1,69%"
2016,Inadequação fundiária,Região Metropolitana de Vale do Rio Cuiabá (MT),8.855,"3,23%"
2016,Inadequação fundiária,Goiás,74.518,"3,72%"
2016,Inadequação fundiária,Região Metropolitana de Goiânia (GO),36.812,"4,70%"
2016,Inadequação fundiária,Distrito Federal,26.791,"3,02%"
2016,Inadequação fundiária,Brasil,2.439.664,"4,24%"
2017,Inadequação fundiária,Norte,118.609,"3,12%"
2017,Inadequação fundiária,Rondônia,7.658,"1,85%"
2017,Inadequação fundiária,Acre,5.371,"3,08%"
2017,Inadequação fundiária,Amazonas,28.027,"3,24%"
2017,Inadequação fundiária,Região Metropolitana de Manaus (AM),21.976,"3,39%"
2017,Inadequação fundiária,Roraima,2.808,"2,46%"
2017,Inadequação fundiária,Pará,48.848,"2,94%"
2017,Inadequação fundiária,Região Metropolitana de Belém (PA),26.910,"4,29%"
2017,Inadequação fundiária,Amapá,18.718,"10,03%"
2017,Inadequação fundiária,Região Metropolitana de Macapá (AP),15.159,"10,40%"
2017,Inadequação fundiária,Tocantins,7.179,"1,85%"
2017,Inadequação fundiária,Nordeste,747.768,"5,58%"
2017,Inadequação fundiária,Maranhão,41.461,"3,23%"
2017,Inadequação fundiária,"Região Metropolitana de Grande São
Luís (MA)",15.205,"4,58%"
2017,Inadequação fundiária,Piauí,11.686,"1,76%"
2017,Inadequação fundiária,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",8.857,"2,79%"
2017,Inadequação fundiária,Ceará,152.498,"6,98%"
2017,Inadequação fundiária,Região Metropolitana de Fortaleza (CE),105.129,"8,76%"
2017,Inadequação fundiária,Rio Grande do Norte,24.411,"2,90%"
2017,Inadequação fundiária,Região Metropolitana de Natal (RN),20.354,"4,76%"
2017,Inadequação fundiária,Paraíba,48.580,"5,03%"
2017,Inadequação fundiária,Região Metropolitana de João Pessoa (PB),29.126,"7,75%"
2017,Inadequação fundiária,Pernambuco,136.387,"5,44%"
2017,Inadequação fundiária,Região Metropolitana de Recife (PE),104.493,"8,05%"
2017,Inadequação fundiária,Alagoas,28.880,"3,69%"
