Ano,Inadequação,Região,Contagem,Porcentagem em relação ao total de domicílios particulares permanentes duráveis urbanos 
2016,Domicílios inadequados,Norte,2.728.518,"74,29%"
2016,Domicílios inadequados,Rondônia,267.926,"68,47%"
2016,Domicílios inadequados,Acre,152.124,"87,41%"
2016,Domicílios inadequados,Amazonas,574.177,"69,07%"
2016,Domicílios inadequados,Região Metropolitana de Manaus (AM),404.277,"64,77%"
2016,Domicílios inadequados,Roraima,88.466,"82,20%"
2016,Domicílios inadequados,Pará,1.317.534,"82,39%"
2016,Domicílios inadequados,Região Metropolitana de Belém (PA),506.666,"82,17%"
2016,Domicílios inadequados,Amapá,154.662,"84,13%"
2016,Domicílios inadequados,Região Metropolitana de Macapá (AP),121.903,"84,98%"
2016,Domicílios inadequados,Tocantins,173.629,"45,03%"
2016,Domicílios inadequados,Nordeste,8.375.961,"63,41%"
2016,Domicílios inadequados,Maranhão,941.398,"74,99%"
2016,Domicílios inadequados,"Região Metropolitana de Grande São
Luís (MA)",235.599,"72,66%"
2016,Domicílios inadequados,Piauí,318.879,"49,47%"
2016,Domicílios inadequados,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",155.834,"51,38%"
2016,Domicílios inadequados,Ceará,1.181.923,"54,88%"
2016,Domicílios inadequados,Região Metropolitana de Fortaleza (CE),554.169,"47,12%"
2016,Domicílios inadequados,Rio Grande do Norte,669.690,"80,61%"
2016,Domicílios inadequados,Região Metropolitana de Natal (RN),259.525,"62,87%"
2016,Domicílios inadequados,Paraíba,711.912,"74,70%"
2016,Domicílios inadequados,Região Metropolitana de João Pessoa (PB),203.724,"54,83%"
2016,Domicílios inadequados,Pernambuco,1.807.205,"72,39%"
2016,Domicílios inadequados,Região Metropolitana de Recife (PE),783.118,"61,86%"
2016,Domicílios inadequados,Alagoas,492.120,"65,21%"
2016,Domicílios inadequados,Região Metropolitana de Maceió (AL),234.767,"59,55%"
2016,Domicílios inadequados,Sergipe,274.757,"49,99%"
2016,Domicílios inadequados,Região Metropolitana de Aracaju (SE),126.465,"41,71%"
2016,Domicílios inadequados,Bahia,1.978.078,"55,40%"
2016,Domicílios inadequados,Região Metropolitana de Salvador (BA),628.964,"48,36%"
2016,Domicílios inadequados,Sudeste,6.377.834,"23,27%"
2016,Domicílios inadequados,Minas Gerais,1.011.542,"16,81%"
2016,Domicílios inadequados,Região Metropolitana de Belo Horizonte (MG),244.200,"14,52%"
2016,Domicílios inadequados,Espírito Santo,248.345,"21,92%"
2016,Domicílios inadequados,Região Metropolitana de Grande Vitória (ES),136.985,"21,36%"
2016,Domicílios inadequados,Rio de Janeiro,2.098.174,"35,72%"
2016,Domicílios inadequados,Região Metropolitana de Rio de Janeiro (RJ),1.711.583,"38,14%"
2016,Domicílios inadequados,São Paulo,3.019.773,"21,00%"
2016,Domicílios inadequados,Região Metropolitana de São Paulo (SP),1.727.195,"24,57%"
2016,Domicílios inadequados,Sul,3.535.872,"40,50%"
2016,Domicílios inadequados,Paraná,1.099.016,"33,33%"
2016,Domicílios inadequados,Região Metropolitana de Curitiba (PR),194.718,"17,66%"
2016,Domicílios inadequados,Santa Catarina,611.731,"30,98%"
2016,Domicílios inadequados,Região Metropolitana de Florianópolis (SC),77.035,"22,57%"
2016,Domicílios inadequados,Rio Grande do Sul,1.825.125,"52,78%"
2016,Domicílios inadequados,Região Metropolitana de Porto Alegre (RS),720.387,"49,14%"
2016,Domicílios inadequados,Centro-Oeste,1.640.526,"35,92%"
2016,Domicílios inadequados,Mato Grosso do Sul,262.160,"33,94%"
2016,Domicílios inadequados,Mato Grosso,405.227,"44,75%"
2016,Domicílios inadequados,Região Metropolitana de Vale do Rio Cuiabá (MT),173.405,"63,33%"
2016,Domicílios inadequados,Goiás,746.736,"37,27%"
2016,Domicílios inadequados,Região Metropolitana de Goiânia (GO),286.981,"36,68%"
2016,Domicílios inadequados,Distrito Federal,226.404,"25,54%"
2016,Domicílios inadequados,Brasil,22.658.711,"39,35%"
2017,Domicílios inadequados,Norte,2.813.668,"73,93%"
2017,Domicílios inadequados,Rondônia,284.368,"68,54%"
2017,Domicílios inadequados,Acre,148.249,"85,01%"
2017,Domicílios inadequados,Amazonas,534.705,"61,80%"
2017,Domicílios inadequados,Região Metropolitana de Manaus (AM),348.046,"53,62%"
2017,Domicílios inadequados,Roraima,88.970,"77,94%"
2017,Domicílios inadequados,Pará,1.394.924,"83,91%"
2017,Domicílios inadequados,Região Metropolitana de Belém (PA),518.178,"82,64%"
2017,Domicílios inadequados,Amapá,160.492,"86,01%"
2017,Domicílios inadequados,Região Metropolitana de Macapá (AP),126.596,"86,85%"
2017,Domicílios inadequados,Tocantins,201.959,"52,05%"
2017,Domicílios inadequados,Nordeste,8.527.932,"63,69%"
2017,Domicílios inadequados,Maranhão,918.295,"71,56%"
2017,Domicílios inadequados,"Região Metropolitana de Grande São
Luís (MA)",225.036,"67,84%"
2017,Domicílios inadequados,Piauí,361.979,"54,52%"
2017,Domicílios inadequados,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",170.405,"53,65%"
2017,Domicílios inadequados,Ceará,1.156.313,"52,93%"
2017,Domicílios inadequados,Região Metropolitana de Fortaleza (CE),553.822,"46,14%"
2017,Domicílios inadequados,Rio Grande do Norte,677.949,"80,65%"
2017,Domicílios inadequados,Região Metropolitana de Natal (RN),285.290,"66,76%"
2017,Domicílios inadequados,Paraíba,689.307,"71,34%"
2017,Domicílios inadequados,Região Metropolitana de João Pessoa (PB),205.625,"54,69%"
2017,Domicílios inadequados,Pernambuco,1.898.788,"75,69%"
2017,Domicílios inadequados,Região Metropolitana de Recife (PE),819.073,"63,14%"
2017,Domicílios inadequados,Alagoas,517.225,"66,04%"
2017,Domicílios inadequados,Região Metropolitana de Maceió (AL),238.099,"56,57%"
2017,Domicílios inadequados,Sergipe,280.698,"49,40%"
2017,Domicílios inadequados,Região Metropolitana de Aracaju (SE),97.951,"31,98%"
2017,Domicílios inadequados,Bahia,2.027.378,"56,44%"
2017,Domicílios inadequados,Região Metropolitana de Salvador (BA),715.604,"52,88%"
2017,Domicílios inadequados,Sudeste,6.055.061,"21,88%"
2017,Domicílios inadequados,Minas Gerais,1.068.534,"17,43%"
2017,Domicílios inadequados,Região Metropolitana de Belo Horizonte (MG),229.446,"12,93%"
2017,Domicílios inadequados,Espírito Santo,240.068,"21,19%"
2017,Domicílios inadequados,Região Metropolitana de Grande Vitória (ES),124.186,"19,58%"
2017,Domicílios inadequados,Rio de Janeiro,1.941.892,"32,60%"
2017,Domicílios inadequados,Região Metropolitana de Rio de Janeiro (RJ),1.537.403,"33,98%"
2017,Domicílios inadequados,São Paulo,2.804.567,"19,41%"
2017,Domicílios inadequados,Região Metropolitana de São Paulo (SP),1.417.341,"20,17%"
2017,Domicílios inadequados,Sul,3.610.565,"40,92%"
2017,Domicílios inadequados,Paraná,1.104.583,"33,38%"
2017,Domicílios inadequados,Região Metropolitana de Curitiba (PR),234.912,"21,18%"
2017,Domicílios inadequados,Santa Catarina,609.186,"29,93%"
2017,Domicílios inadequados,Região Metropolitana de Florianópolis (SC),91.806,"25,93%"
2017,Domicílios inadequados,Rio Grande do Sul,1.896.796,"54,52%"
2017,Domicílios inadequados,Região Metropolitana de Porto Alegre (RS),715.240,"48,88%"
2017,Domicílios inadequados,Centro-Oeste,2.288.025,"48,71%"
2017,Domicílios inadequados,Mato Grosso do Sul,308.916,"39,32%"
2017,Domicílios inadequados,Mato Grosso,421.538,"46,20%"
2017,Domicílios inadequados,Região Metropolitana de Vale do Rio Cuiabá (MT),174.638,"61,32%"
2017,Domicílios inadequados,Goiás,874.421,"42,10%"
2017,Domicílios inadequados,Região Metropolitana de Goiânia (GO),350.749,"42,38%"
2017,Domicílios inadequados,Distrito Federal,683.150,"74,13%"
2017,Domicílios inadequados,Brasil,23.295.251,"39,90%"
2018,Domicílios inadequados,Norte,2.930.172,"74,03%"
2018,Domicílios inadequados,Rondônia,318.822,"73,71%"
2018,Domicílios inadequados,Acre,157.132,"84,43%"
2018,Domicílios inadequados,Amazonas,574.652,"63,51%"
2018,Domicílios inadequados,Região Metropolitana de Manaus (AM),388.194,"55,98%"
2018,Domicílios inadequados,Roraima,93.012,"74,49%"
2018,Domicílios inadequados,Pará,1.423.358,"82,77%"
2018,Domicílios inadequados,Região Metropolitana de Belém (PA),523.648,"80,88%"
2018,Domicílios inadequados,Amapá,162.372,"85,55%"
2018,Domicílios inadequados,Região Metropolitana de Macapá (AP),130.122,"85,34%"
2018,Domicílios inadequados,Tocantins,200.824,"50,16%"
2018,Domicílios inadequados,Nordeste,8.305.239,"61,47%"
2018,Domicílios inadequados,Maranhão,923.205,"71,71%"
2018,Domicílios inadequados,"Região Metropolitana de Grande São
Luís (MA)",232.747,"67,94%"
2018,Domicílios inadequados,Piauí,350.038,"53,98%"
2018,Domicílios inadequados,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",175.149,"57,33%"
2018,Domicílios inadequados,Ceará,1.148.381,"50,93%"
2018,Domicílios inadequados,Região Metropolitana de Fortaleza (CE),578.824,"45,65%"
2018,Domicílios inadequados,Rio Grande do Norte,650.505,"76,05%"
2018,Domicílios inadequados,Região Metropolitana de Natal (RN),233.677,"54,10%"
2018,Domicílios inadequados,Paraíba,624.651,"64,21%"
2018,Domicílios inadequados,Região Metropolitana de João Pessoa (PB),234.349,"62,56%"
2018,Domicílios inadequados,Pernambuco,1.947.945,"76,07%"
2018,Domicílios inadequados,Região Metropolitana de Recife (PE),894.706,"67,72%"
2018,Domicílios inadequados,Alagoas,497.848,"61,44%"
2018,Domicílios inadequados,Região Metropolitana de Maceió (AL),232.504,"52,15%"
2018,Domicílios inadequados,Sergipe,281.769,"49,60%"
2018,Domicílios inadequados,Região Metropolitana de Aracaju (SE),104.285,"34,05%"
2018,Domicílios inadequados,Bahia,1.880.897,"52,94%"
2018,Domicílios inadequados,Região Metropolitana de Salvador (BA),598.446,"44,14%"
2018,Domicílios inadequados,Sudeste,6.131.004,"21,64%"
2018,Domicílios inadequados,Minas Gerais,1.073.033,"17,15%"
2018,Domicílios inadequados,Região Metropolitana de Belo Horizonte (MG),253.898,"14,09%"
2018,Domicílios inadequados,Espírito Santo,236.638,"20,19%"
2018,Domicílios inadequados,Região Metropolitana de Grande Vitória (ES),155.150,"23,26%"
2018,Domicílios inadequados,Rio de Janeiro,1.900.879,"31,58%"
2018,Domicílios inadequados,Região Metropolitana de Rio de Janeiro (RJ),1.487.556,"32,50%"
2018,Domicílios inadequados,São Paulo,2.920.454,"19,63%"
2018,Domicílios inadequados,Região Metropolitana de São Paulo (SP),1.648.941,"22,72%"
2018,Domicílios inadequados,Sul,3.826.859,"42,59%"
2018,Domicílios inadequados,Paraná,1.207.495,"36,04%"
2018,Domicílios inadequados,Região Metropolitana de Curitiba (PR),279.309,"25,16%"
2018,Domicílios inadequados,Santa Catarina,694.088,"32,98%"
2018,Domicílios inadequados,Região Metropolitana de Florianópolis (SC),98.816,"27,08%"
2018,Domicílios inadequados,Rio Grande do Sul,1.925.277,"54,53%"
2018,Domicílios inadequados,Região Metropolitana de Porto Alegre (RS),718.303,"49,24%"
2018,Domicílios inadequados,Centro-Oeste,2.082.974,"43,43%"
2018,Domicílios inadequados,Mato Grosso do Sul,307.485,"38,39%"
2018,Domicílios inadequados,Mato Grosso,412.362,"44,02%"
2018,Domicílios inadequados,Região Metropolitana de Vale do Rio Cuiabá (MT),170.405,"57,54%"
2018,Domicílios inadequados,Goiás,854.129,"40,12%"
2018,Domicílios inadequados,Região Metropolitana de Goiânia (GO),295.241,"33,49%"
2018,Domicílios inadequados,Distrito Federal,508.998,"54,79%"
2018,Domicílios inadequados,Brasil,23.276.249,"39,07%"
2019,Domicílios inadequados,Norte,3.061.736,"75,62%"
2019,Domicílios inadequados,Rondônia,286.704,"64,47%"
2019,Domicílios inadequados,Acre,163.491,"85,54%"
2019,Domicílios inadequados,Amazonas,621.506,"69,89%"
2019,Domicílios inadequados,Região Metropolitana de Manaus (AM),438.537,"65,10%"
2019,Domicílios inadequados,Roraima,96.856,"79,41%"
2019,Domicílios inadequados,Pará,1.502.055,"83,79%"
2019,Domicílios inadequados,Região Metropolitana de Belém (PA),551.091,"81,79%"
2019,Domicílios inadequados,Amapá,166.049,"88,26%"
2019,Domicílios inadequados,Região Metropolitana de Macapá (AP),127.127,"87,67%"
2019,Domicílios inadequados,Tocantins,225.074,"53,43%"
2019,Domicílios inadequados,Nordeste,8.682.513,"62,03%"
2019,Domicílios inadequados,Maranhão,949.852,"68,74%"
2019,Domicílios inadequados,"Região Metropolitana de Grande São
Luís (MA)",265.190,"67,88%"
2019,Domicílios inadequados,Piauí,339.085,"51,75%"
2019,Domicílios inadequados,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",154.802,"50,44%"
2019,Domicílios inadequados,Ceará,1.089.796,"48,79%"
2019,Domicílios inadequados,Região Metropolitana de Fortaleza (CE),528.811,"42,57%"
2019,Domicílios inadequados,Rio Grande do Norte,629.282,"70,46%"
2019,Domicílios inadequados,Região Metropolitana de Natal (RN),246.709,"53,58%"
2019,Domicílios inadequados,Paraíba,662.357,"66,23%"
2019,Domicílios inadequados,Região Metropolitana de João Pessoa (PB),241.980,"60,70%"
2019,Domicílios inadequados,Pernambuco,2.133.121,"79,68%"
2019,Domicílios inadequados,Região Metropolitana de Recife (PE),1.003.801,"74,44%"
2019,Domicílios inadequados,Alagoas,511.788,"59,80%"
2019,Domicílios inadequados,Região Metropolitana de Maceió (AL),232.596,"49,69%"
2019,Domicílios inadequados,Sergipe,322.581,"53,60%"
2019,Domicílios inadequados,Região Metropolitana de Aracaju (SE),119.118,"37,19%"
2019,Domicílios inadequados,Bahia,2.044.651,"55,29%"
2019,Domicílios inadequados,Região Metropolitana de Salvador (BA),668.754,"47,07%"
2019,Domicílios inadequados,Sudeste,7.104.077,"24,68%"
2019,Domicílios inadequados,Minas Gerais,1.182.612,"18,54%"
2019,Domicílios inadequados,Região Metropolitana de Belo Horizonte (MG),275.056,"14,98%"
2019,Domicílios inadequados,Espírito Santo,291.165,"24,42%"
2019,Domicílios inadequados,Região Metropolitana de Grande Vitória (ES),192.168,"28,45%"
2019,Domicílios inadequados,Rio de Janeiro,2.117.313,"34,40%"
2019,Domicílios inadequados,Região Metropolitana de Rio de Janeiro (RJ),1.623.994,"35,11%"
2019,Domicílios inadequados,São Paulo,3.512.986,"23,32%"
2019,Domicílios inadequados,Região Metropolitana de São Paulo (SP),1.841.841,"25,29%"
2019,Domicílios inadequados,Sul,3.901.708,"42,23%"
2019,Domicílios inadequados,Paraná,1.225.252,"35,61%"
2019,Domicílios inadequados,Região Metropolitana de Curitiba (PR),294.417,"25,25%"
2019,Domicílios inadequados,Santa Catarina,686.192,"32,18%"
2019,Domicílios inadequados,Região Metropolitana de Florianópolis (SC),107.331,"28,02%"
2019,Domicílios inadequados,Rio Grande do Sul,1.990.264,"54,30%"
2019,Domicílios inadequados,Região Metropolitana de Porto Alegre (RS),803.644,"51,57%"
2019,Domicílios inadequados,Centro-Oeste,1.724.416,"35,22%"
2019,Domicílios inadequados,Mato Grosso do Sul,298.497,"36,86%"
2019,Domicílios inadequados,Mato Grosso,384.214,"40,91%"
2019,Domicílios inadequados,Região Metropolitana de Vale do Rio Cuiabá (MT),155.958,"55,51%"
2019,Domicílios inadequados,Goiás,785.002,"35,54%"
2019,Domicílios inadequados,Região Metropolitana de Goiânia (GO),311.976,"35,29%"
2019,Domicílios inadequados,Distrito Federal,256.703,"27,38%"
2019,Domicílios inadequados,Brasil,24.474.449,"40,14%"
